Gene Entrez ID	Gene Symbol
5432	POLR2C
5433	POLR2D
5434	POLR2E
5436	POLR2G
5439	POLR2J
5441	POLR2L
5442	POLRMT
5449	POU1F1
5450	POU2AF1
5451	POU2F1
5455	POU3F3
5460	POU5F1
5464	PPA1
5465	PPARA
5467	PPARD
5468	PPARG
5469	MED1
5473	PPBP
5478	PPIA
5479	PPIB
5480	PPIC
5481	PPID
5494	PPM1A
5495	PPM1B
5496	PPM1G
5499	PPP1CA
5500	PPP1CB
5501	PPP1CC
5504	PPP1R2
5507	PPP1R3C
5509	PPP1R3D
5510	PPP1R7
5511	PPP1R8
5514	PPP1R10
5515	PPP2CA
5516	PPP2CB
5518	PPP2R1A
5519	PPP2R1B
5520	PPP2R2A
5521	PPP2R2B
5522	PPP2R2C
5524	PPP2R4
5525	PPP2R5A
5526	PPP2R5B
5527	PPP2R5C
5528	PPP2R5D
5529	PPP2R5E
5530	PPP3CA
5531	PPP4C
5532	PPP3CB
5533	PPP3CC
5534	PPP3R1
5536	PPP5C
5545	PRB4
5552	SRGN
5558	PRIM2
5562	PRKAA1
5563	PRKAA2
5564	PRKAB1
5565	PRKAB2
5566	PRKACA
5567	PRKACB
5569	PKIA
5573	PRKAR1A
5575	PRKAR1B
5576	PRKAR2A
5578	PRKCA
5579	PRKCB
5580	PRKCD
5581	PRKCE
5582	PRKCG
5583	PRKCH
5584	PRKCI
5585	PKN1
5586	PKN2
5587	PRKD1
5588	PRKCQ
5589	PRKCSH
5590	PRKCZ
5591	PRKDC
5594	MAPK1
5595	MAPK3
5597	MAPK6
5598	MAPK7
5599	MAPK8
5600	MAPK11
5601	MAPK9
5602	MAPK10
5603	MAPK13
5604	MAP2K1
5607	MAP2K5
5610	EIF2AK2
5611	DNAJC3
5618	PRLR
5621	PRNP
5626	PROP1
5627	PROS1
5629	PROX1
5630	PRPH
5631	PRPS1
5634	PRPS2
5635	PRPSAP1
5636	PRPSAP2
5639	PRRG2
5644	PRSS1
5646	PRSS3
5648	MASP1
5650	KLK7
5657	PRTN3
5663	PSEN1
5664	PSEN2
5678	PSG9
5680	PSG11
5682	PSMA1
5683	PSMA2
5684	PSMA3
5685	PSMA4
5686	PSMA5
5687	PSMA6
5688	PSMA7
5689	PSMB1
5690	PSMB2
5691	PSMB3
5692	PSMB4
5693	PSMB5
5694	PSMB6
5695	PSMB7
5696	PSMB8
5697	PYY
5698	PSMB9
5699	PSMB10
5700	PSMC1
5701	PSMC2
5702	PSMC3
5704	PSMC4
5705	PSMC5
5706	PSMC6
5707	PSMD1
5708	PSMD2
5709	PSMD3
5710	PSMD4
5711	PSMD5
5713	PSMD7
5714	PSMD8
5715	PSMD9
5716	PSMD10
5717	PSMD11
5718	PSMD12
5719	PSMD13
5720	PSME1
5721	PSME2
5725	PTBP1
5727	PTCH1
5728	PTEN
5738	PTGFRN
5740	PTGIS
5741	PTH
5742	PTGS1
5743	PTGS2
5744	PTHLH
5745	PTH1R
5747	PTK2
5753	PTK6
5757	PTMA
5763	PTMS
5764	PTN
5770	PTPN1
5771	PTPN2
5775	PTPN4
5777	PTPN6
5781	PTPN11
5782	PTPN12
5784	PTPN14
5788	PTPRC
5789	PTPRD
5790	PTPRCAP
5792	PTPRF
5798	PTPRN
5813	PURA
5822	PWP2
5824	PEX19
5825	ABCD3
5829	PXN
5830	PEX5
5831	PYCR1
5832	ALDH18A1
5833	PCYT2
5834	PYGB
5836	PYGL
5858	PZP
5859	QARS
